label,message,result,num,char_count,word_count,unique_word_count,punct_count,uppercase_ratio,outlier_char_count_iqr_global,outlier_char_count_zscore_global,outlier_word_count_iqr_global,outlier_word_count_zscore_global,outlier_punct_count_iqr_global,outlier_punct_count_zscore_global,outlier_uppercase_ratio_iqr_global,outlier_uppercase_ratio_zscore_global,outlier_char_count_iqr_by_group,outlier_word_count_iqr_by_group,outlier_punct_count_iqr_by_group,outlier_uppercase_ratio_iqr_by_group,outlier_char_count_iqr_humor,outlier_word_count_iqr_humor,outlier_punct_count_iqr_humor,outlier_uppercase_ratio_iqr_humor
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",dumor,0,109,21,21,6,0.01834862385321101,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",dumor,0,136,26,24,8,0.125,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",humor,1,156,26,26,9,0.2564102564102564,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,dumor,0,196,37,33,4,0.015306122448979591,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,dumor,0,35,8,8,2,0.7428571428571429,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",dumor,0,149,19,17,11,0.15436241610738255,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
ham,Oh k...i'm watching here:),dumor,0,26,4,4,6,0.038461538461538464,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,dumor,0,81,19,17,5,0.037037037037037035,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,dumor,0,58,13,11,1,0.06896551724137931,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",dumor,0,156,24,22,8,0.21153846153846154,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
ham,Is that seriously how you spell his name?,dumor,0,41,8,8,1,0.024390243902439025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,IÛ÷m going to try for 2 months ha ha only joking,dumor,0,49,11,10,2,0.04081632653061224,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,So Ì_ pay first lar... Then when is da stock comin...,dumor,0,53,11,11,6,0.05660377358490566,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,dumor,0,88,20,16,3,0.03409090909090909,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,Ffffffffff. Alright no way I can meet up with you sooner?,dumor,0,57,11,11,2,0.05263157894736842,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,dumor,0,144,28,27,7,0.05555555555555555,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,Lol your always so convincing.,dumor,0,30,5,5,1,0.03333333333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,dumor,0,134,32,23,6,0.04477611940298507,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",dumor,0,75,15,15,7,0.02666666666666667,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,dumor,0,64,12,12,4,0.078125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",dumor,0,130,26,23,4,0.007692307692307693,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,dumor,0,189,41,35,7,0.026455026455026454,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
ham,K tell me anything about you.,dumor,0,29,6,6,1,0.034482758620689655,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,dumor,0,84,17,16,1,0.023809523809523808,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
spam,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,dumor,0,159,29,24,3,0.08176100628930817,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,dumor,0,123,28,26,6,0.032520325203252036,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,"Oops, I'll let you know when my roommate's done",dumor,0,47,9,9,3,0.0425531914893617,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,I see the letter B on my car,dumor,0,28,8,8,0,0.07142857142857142,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,Anything lor... U decide...,dumor,0,27,4,4,6,0.07407407407407407,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,dumor,0,155,30,28,7,0.025806451612903226,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,dumor,0,82,17,17,3,0.04878048780487805,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",dumor,0,142,34,24,15,0.07042253521126761,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,dumor,0,172,33,28,5,0.040697674418604654,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,WHO ARE YOU SEEING?,dumor,0,19,4,4,1,0.7894736842105263,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,dumor,0,72,13,12,10,0.041666666666666664,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,No calls..messages..missed calls,dumor,0,32,3,3,4,0.03125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,Didn't you get hep b immunisation in nigeria.,dumor,0,45,8,8,2,0.022222222222222223,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,"Fair enough, anything going on?",dumor,0,31,5,5,2,0.03225806451612903,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",dumor,0,67,14,14,2,0.029850746268656716,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,dumor,0,148,30,26,7,0.0472972972972973,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,What you thinked about me. First time you saw me in class.,dumor,0,58,12,11,2,0.034482758620689655,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",dumor,0,124,23,20,11,0.008064516129032258,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,dumor,0,80,16,16,1,0.0125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",dumor,0,291,55,40,16,0.024054982817869417,True,True,True,True,True,False,False,False,True,True,True,False,False,False,False,False
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,dumor,0,120,22,22,5,0.2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,dumor,0,76,13,13,6,0.09210526315789473,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",dumor,0,161,27,27,12,0.07453416149068323,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,"Sorry, I'll call later in meeting.",dumor,0,34,6,6,3,0.058823529411764705,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,Tell where you reached,dumor,0,22,4,4,0,0.045454545454545456,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,Yes..gauti and sehwag out of odi series.,dumor,0,40,7,7,3,0.025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,dumor,0,108,23,23,5,0.027777777777777776,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,Ha ha ha good joke. Girls are situation seekers.,dumor,0,48,9,8,2,0.041666666666666664,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,Its a part of checking IQ,dumor,0,25,6,6,0,0.12,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
ham,"Sorry my roommates took forever, it ok if I come by now?",dumor,0,56,12,12,2,0.03571428571428571,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,dumor,0,110,24,21,2,0.01818181818181818,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",dumor,0,153,28,26,4,0.0392156862745098,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",dumor,0,124,23,23,10,0.024193548387096774,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",humor,1,161,22,21,12,0.14906832298136646,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",dumor,0,80,15,15,7,0.0625,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
ham,I plane to give on this month end.,dumor,0,34,8,8,1,0.029411764705882353,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,Wah lucky man... Then can save money... Hee...,dumor,0,46,8,8,9,0.06521739130434782,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,Finished class where are you.,dumor,0,29,5,5,1,0.034482758620689655,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,dumor,0,45,10,10,1,0.7777777777777778,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False
ham,K..k:)where are you?how did you performed?,dumor,0,42,6,6,6,0.023809523809523808,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,U can call me now...,dumor,0,20,5,5,3,0.05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,I am waiting machan. Call me once you free.,dumor,0,43,9,9,2,0.046511627906976744,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,dumor,0,73,14,13,2,0.0136986301369863,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,I like you peoples very much:) but am very shy pa.,dumor,0,50,11,10,3,0.02,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,Does not operate after  &lt;#&gt;  or what,dumor,0,42,7,7,5,0.023809523809523808,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,dumor,0,76,16,16,4,0.05263157894736842,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,"Sorry, I'll call later",dumor,0,22,4,4,2,0.09090909090909091,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
ham,K. Did you call me just now ah? ,dumor,0,32,8,8,2,0.0625,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,Ok i am on the way to home hi hi,dumor,0,32,10,9,0,0.03125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,You will be in the place of that man,dumor,0,36,9,9,0,0.027777777777777776,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,Yup next stop.,dumor,0,14,3,3,1,0.07142857142857142,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,"I call you later, don't have network. If urgnt, sms me.",dumor,0,55,11,11,5,0.03636363636363636,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,dumor,0,121,26,23,4,0.03305785123966942,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,dumor,0,144,31,27,4,0.034722222222222224,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,I'm really not up to it still tonight babe,dumor,0,42,9,9,1,0.023809523809523808,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,"Ela kano.,il download, come wen ur free..",dumor,0,41,7,7,5,0.024390243902439025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,dumor,0,62,10,10,7,0.06451612903225806,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,dumor,0,195,39,36,5,0.020512820512820513,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,dumor,0,141,26,20,2,0.1347517730496454,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,humor,1,139,23,23,4,0.02877697841726619,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,dumor,0,107,20,20,3,0.028037383177570093,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",dumor,0,125,22,20,6,0.088,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,Watching telugu movie..wat abt u?,dumor,0,33,5,5,3,0.030303030303030304,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,i see. When we finish we have loads of loans to pay,dumor,0,51,12,11,1,0.0196078431372549,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""
ham""",dumor,0,185,39,35,9,0.02702702702702703,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
ham,Please don't text me anymore. I have nothing else to say.,dumor,0,57,11,11,3,0.03508771929824561,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,dumor,0,81,21,20,2,0.04938271604938271,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,dumor,0,76,16,16,3,0.02631578947368421,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,dumor,0,160,26,24,6,0.0625,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",dumor,0,183,36,32,8,0.02185792349726776,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
ham,Umma my life and vava umma love you lot dear,dumor,0,44,10,10,0,0.022727272727272728,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,dumor,0,95,17,14,2,0.021052631578947368,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,"Aight, I'll hit you up when I get some cash",dumor,0,43,10,10,2,0.06976744186046512,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,How would my ip address test that considering my computer isn't a minecraft server,dumor,0,82,14,13,1,0.012195121951219513,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,dumor,0,115,24,23,6,0.043478260869565216,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,Dont worry. I guess he's busy.,dumor,0,30,6,6,3,0.06666666666666667,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,What is the plural of the noun research?,dumor,0,40,8,7,1,0.025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,Going for dinner.msg you after.,dumor,0,31,5,5,2,0.03225806451612903,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,dumor,0,96,24,21,4,0.03125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,humor,1,159,27,27,7,0.1320754716981132,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",dumor,0,143,24,23,15,0.027972027972027972,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",dumor,0,156,32,29,13,0.07051282051282051,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
spam,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,humor,1,153,27,24,8,0.013071895424836602,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,dumor,0,72,12,12,4,0.027777777777777776,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,dumor,0,86,15,15,6,0.023255813953488372,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,humor,1,144,20,20,3,0.1111111111111111,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
spam,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",dumor,0,157,26,26,7,0.1592356687898089,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
ham,here is my new address -apples&pairs&all that malarky,dumor,0,53,8,8,3,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,humor,1,156,27,26,2,0.019230769230769232,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,I am going to sao mu today. Will be done only at 12 ,dumor,0,52,13,13,1,0.038461538461538464,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,ÌÏ predict wat time Ì_'ll finish buying?,dumor,0,40,7,7,2,0.075,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,"Good stuff, will do.",dumor,0,20,4,4,2,0.05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",dumor,0,244,46,38,9,0.01639344262295082,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
ham,Are you there in room.,dumor,0,22,5,5,1,0.045454545454545456,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,dumor,0,107,27,23,4,0.7009345794392523,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False
ham,K..k:)how much does it cost?,dumor,0,28,5,5,5,0.03571428571428571,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,I'm home.,dumor,0,9,2,2,2,0.1111111111111111,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
ham,"Dear, will call Tmorrow.pls accomodate.",dumor,0,39,5,5,3,0.05128205128205128,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,First answer my question.,dumor,0,25,4,4,1,0.04,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,dumor,0,126,25,25,6,0.1111111111111111,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,dumor,0,162,28,25,8,0.09876543209876543,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,I only haf msn. It's yijue@hotmail.com,dumor,0,38,6,6,4,0.05263157894736842,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,He is there. You call and meet him,dumor,0,34,8,8,1,0.058823529411764705,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,No no. I will check all rooms befor activities,dumor,0,46,9,9,1,0.043478260869565216,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,dumor,0,155,32,31,4,0.07741935483870968,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,dumor,0,86,20,18,12,0.05813953488372093,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
ham,"K, text me when you're on the way",dumor,0,33,8,8,2,0.030303030303030304,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,"Sir, Waiting for your mail.",dumor,0,27,5,5,2,0.07407407407407407,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
